0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-1,0,0.0633257
-1,0,0.0347811
-1,0,0.0166404
-1,0,0.0166404
-1,0,0.00609093
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-0.9795473,0,0
-0.9177368,0,0
-0.9177368,0,0
-0.825842,0,0
-0.825842,0,0
-0.718632,0,0
-0.630379,0,0
-0.630379,0,0
-0.537632,0,0
-0.537632,0,0
-0.463,0,0
-0.463,0,0
-0.384895,0,0
-0.384895,0,0
-0.335526,0,0
-0.269737,0,0
-0.269737,0,0
-0.203947,0,0
-0.125842,0,0
-0.125842,0,0
-0.014789,0,0
-0.014789,0,0
0,0,0
0,0,0.00256761
0,0,0.00121096
0,0,0.00121096
0,0,0.00129849
0,0,0.00177177
0,0,0.00177177
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.00103162
0,0,0.00103162
-0.183368,0,0
-0.550158,0,0
-0.550158,0,0
-0.809105,0,0
-0.9762105,0,0
-0.9762105,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-1,0,0
-0.9177052,0,0
-0.9177052,0,0
-0.880158,0,0
-0.875947,0,0
-0.875947,0,0
-0.875947,0,0
-0.875947,0,0
-0.875947,0,0
-0.875947,0,0
-0.875947,0,0
