user_id,pc_throttle,pc_brake,t-b,pc_steering,t-b-s,pc_speed,pc_lap_distance
1,0.783737,0,0.783737,0.000929685,0.782807315,37.4226,51.1587
1,0.783737,0,0.783737,0.000929685,0.782807315,37.4226,51.1587
1,0.800158,0,0.800158,0.000929685,0.799228315,37.7795,52.4109
1,0,0,0,0.00115286,-0.00115286,38.0996,53.6747
1,0,0,0,0.00115286,-0.00115286,38.0996,53.6747
1,0,0,0,0.00215694,-0.00215694,38.0687,54.9413
1,0.919421,0,0.919421,0.00308671,0.91633429,38.1836,56.2093
1,0.919421,0,0.919421,0.00308671,0.91633429,38.1836,56.2093
1,1,0,1,0.00371896,0.99628104,38.4494,57.4842
1,1,0,1,0.00409092,0.99590908,38.857,58.7711
1,1,0,1,0.00409092,0.99590908,38.857,58.7711
1,1,0,1,0.00409092,0.99590908,39.3805,60.1386
1,1,0,1,0.00416532,0.99583468,39.3805,60.1386
1,1,0,1,0.00416532,0.99583468,39.9658,61.3936
1,1,0,1,0.0042769,0.9957231,40.5534,62.7334
1,1,0,1,0.0042769,0.9957231,40.5534,62.7334
1,1,0,1,0.0042769,0.9957231,41.1359,64.1603
1,1,0,1,0.0042769,0.9957231,41.6239,65.4686
1,1,0,1,0.0042769,0.9957231,41.6239,65.4686
1,1,0,1,0.00390494,0.99609506,42.029,66.9303
1,1,0,1,0.00390494,0.99609506,42.3925,68.335
1,1,0,1,0.00390494,0.99609506,42.3925,68.335
1,1,0,1,0.00390494,0.99609506,42.7466,69.7517
1,1,0,1,0.00364457,0.99635543,43.1381,71.1812
1,1,0,1,0.00364457,0.99635543,43.1381,71.1812
1,1,0,1,0.003347,0.996653,43.5097,72.6233
1,1,0,1,0.003347,0.996653,43.8833,74.0779
1,1,0,1,0.003347,0.996653,43.8833,74.0779
1,1,0,1,0.00371896,0.99628104,44.2533,75.5444
1,1,0,1,0.00371896,0.99628104,44.2533,75.5444
1,1,0,1,0.00371896,0.99628104,44.6169,77.0976
1,1,0,1,0.00371896,0.99628104,44.9931,78.5891
1,1,0,1,0.00371896,0.99628104,44.9931,78.5891
1,1,0,1,0.00371896,0.99628104,45.3332,80.0173
1,1,0,1,0.00371896,0.99628104,45.7101,81.6079
1,1,0,1,0.00371896,0.99628104,45.7101,81.6079
1,1,0,1,0.00371896,0.99628104,46.0672,83.1355
1,1,0,1,0.00390494,0.99609506,46.4182,84.6748
1,1,0,1,0.00409092,0.99590908,46.4182,84.6748
1,1,0,1,0.00409092,0.99590908,46.7665,86.2259
1,1,0,1,0.00446266,0.99553734,47.114,87.788
1,1,0,1,0.00446266,0.99553734,47.114,87.788
1,1,0,1,0.00446266,0.99553734,47.4582,89.4414
1,1,0,1,0.00446266,0.99553734,47.8016,90.9483
1,1,0,1,0.00446266,0.99553734,47.8016,90.9483
1,1,0,1,0.00446266,0.99553734,48.163,92.6264
1,1,0,1,0.00446266,0.99553734,48.4993,94.2356
1,1,0,1,0.00446266,0.99553734,48.4993,94.2356
1,1,0,1,0.00416532,0.99583468,48.8286,95.8557
1,1,0,1,0.00409092,0.99590908,49.1576,97.4868
1,1,0,1,0.00409092,0.99590908,49.1576,97.4868
1,1,0,1,0.00409092,0.99590908,49.4897,99.1296
1,1,0,1,0.00409092,0.99590908,49.4897,100.784
1,1,0,1,0.00409092,0.99590908,49.828,100.784
1,1,0,1,0.00383055,0.99616945,50.1547,102.448
1,1,0,1,0.00316102,0.99683898,50.1547,102.448
1,1,0,1,0.00316102,0.99683898,50.476,104.125
1,1,0,1,0.00260329,0.99739671,50.8119,105.896
1,1,0,1,0.00223133,0.99776867,51.1139,107.508
1,1,0,1,0.00223133,0.99776867,51.1139,107.508
1,1,0,1,0.00185937,0.99814063,51.4256,109.304
1,0,0,0,0.00185937,-0.00185937,51.3647,111.016
1,0,0,0,0.00185937,-0.00185937,51.3647,111.016
1,1,0,1,0.00185937,0.99814063,51.3786,112.726
1,1,0,1,0.00185937,0.99814063,51.3786,112.726
1,1,0,1,0.00185937,0.99814063,51.5217,114.442
1,1,0,1,0.00185937,0.99814063,51.7873,116.162
1,1,0,1,0.00185937,0.99814063,51.7873,116.162
1,1,0,1,0.00185937,0.99814063,52.1717,117.893
1,1,0,1,0.00185937,0.99814063,52.6037,119.642
1,1,0,1,0.00185937,0.99814063,52.6037,119.642
1,1,0,1,0.00185937,0.99814063,53.0298,121.49
1,1,0,1,0.00185937,0.99814063,53.3816,123.263
1,1,0,1,0.00185937,0.99814063,53.3816,123.263
