1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.001 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.020 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.082 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.082 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.174 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.174 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.281 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.370 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.370 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.462 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.462 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.537 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.537 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.615 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.615 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.664 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.730 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.730 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.796 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.874 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.874 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.985 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.985 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,1.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.817 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.450 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.450 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.191 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.024 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.024 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.082 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.082 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.120 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.124 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.098 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.098 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.053 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.053 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
1.000 ,0.000 ,1.000 ,0.001 ,0.000 ,0.000 
